# concept_id	lang	definition	source
additional-heating	en	The application of neutral particle beams and/or high-frequency microwave radiation to the plasma from external sources, in order to provide the input heating power necessary to reach the temperatures required for fusion. Additional heating bridges the gap between resistive (or ohmic) heating due to plasma toroidal current (which gets weaker with increased temperature) and alpha-particle heating due to the slowing down of the helium reaction product in the plasma (which gets stronger with higher temperature).	ITER-glossary
aditya-u	en	ADITYA (synonym of Sun in Hindi) is the first indigenously designed and fabricated tokamak in India. Located at the Institute for Plasma Research in Gujarat and operated since 1989, this medium-size tokamak conducts experiments with high plasma current at high temperature. It was upgraded in 2016 to ADITYA-U to realize shaped-plasma operations in an open diverter configurations. See this website.	ITER-glossary
alcator-c-mod	en	A tokamak experiment run by the Massachusetts Institute of Technology (MIT) in Boston, USA up to the end of funding in 2016. One ot the three major US tokamaks (along with DIII-D and NSTX). See MIT's Plasma Science and Fusion Center.	ITER-glossary
alfv-n-waves	en	Oscillations caused by interacting magnetic fields and electric currents in plasma.	ITER-glossary
alpha-heating	en	The fusion between the nuclei of the hydrogen isotopes deuterium (D) and tritium (T) produces one helium nucleus, also called an "alpha particle," and one neutron. The helium nucleus, which carries 20% of the energy produced by the fusion reaction, is electrically charged and remains confined by the magnetic fields of the tokamak. The heating provided by these alpha particles contributes to maintaining the temperature of the plasma. When heating by the helium nuclei is dominant ("alpha heating") the plasma is said to be a "burning plasma."	ITER-glossary
alpha-particle	en	In fusion, created by fusing deuterium and tritium nuclei. The particle is the nucleus of a helium atom, made of two protons and two neutrons bound together.	ITER-glossary
antenna	en	Heating antennae providing radiofrequency power at electron cyclotron (EC) and ion cyclotron (IC) frequencies to the plasma.	ITER-glossary
asdex-upgrade	en	The ASDEX Upgrade divertor tokamak at the Max Planck Institute for Plasma Physics (IPP) in Garching is Germany's largest fusion device. See more here.	ITER-glossary
aspect-ratio	en	In fusion, this is the ratio of the major to minor radius of the toroidal plasma.	ITER-glossary
beamlines	en	The flight tube connecting the neutral beam box to the plasma torus. Sometimes, colloquially, the complete beam system including the beam box.	ITER-glossary
bioshield	en	A thick wall of concrete surrounding the cryostat and designed to absorb the bulk of the remaining neutron radiation from the plasma. The wall shields the region outside the cryostat so that it can be accessed, at maximum a couple of weeks after shutdown, for major hands-on repairs.	ITER-glossary
blanket	en	The blanket, composed of the shield block module and the first wall, covers the interior surfaces of the vacuum vessel, providing shielding to the vessel and the superconducting magnets from the heat and neutron fluxes of the fusion reaction. The neutrons are slowed down in the blanket, where their kinetic energy is transformed into heat energy and collected by the coolants. In a fusion power plant, this energy will be used for electrical power production. In ITER, some of the 440 individual blanket modules will be used to test materials for tritium breeding concepts.	ITER-glossary
breakeven	en	The point where the amount of energy produced by fusion equals the energy required to fuel the reaction (Q = 1).	ITER-glossary
breeding-blanket	en	If blanket modules contain lithium, a reaction occurs: the incoming neutron is absorbed by the lithium atom, which recombines into an atom of tritium and an atom of helium. The tritium can be removed from the blanket and recycled into the plasma as fuel. Blankets containing lithium are thus considered to be "breeding blankets" for tritium. Within the fusion reaction, tritium can be 'bred' indefinitely. This will be an important technology for future fusion power reactors.	ITER-glossary
breeding-technologies	en	A number of different combinations of tritium breeding material, neutron multiplier, structural material, and coolant will be tried out on ITER to determine the best combination for tritium and power production. Each one of these solutions is referred to as a "breeding technology". A future fusion plant producing large amounts of power will be required to breed all of its own tritium; ITER will test this essential concept of tritium self-sustainment.	ITER-glossary
broader-approach	en	An agreement for complementary research and development between the European Atomic Energy Community (Euratom) and the Japanese government. Signed in 2007 and renewed in 2020, the Broader Approach establishes a framework for advanced research and development in support of ITER and the next-stage device, DEMO.	ITER-glossary
burn	en	The period of roughly constant and maximum fusion power during the plasma pulse.	ITER-glossary
burning-plasma	en	A plasma in which the energy of the helium nuclei (alpha particles) produced by the fusion reaction is enough to maintain the temperature of the plasma; the external heating methods can then be strongly reduced or switched off altogether. A burning plasma in which at least 50 percent of the energy to drive the fusion reaction is generated internally is an essential step to reaching the goal of fusion power generation. At Q = 10 (ITER), approximately 66% of the plasma heating is contributed by the alpha particles.	ITER-glossary
cea	en	The French Alternative Energies and Atomic Energy Commission, a multidisciplinary research organization. CEA Cadarache, next to ITER, is home to the Institute for Magnetic Fusion Research IRFM and the WEST tokamak.	ITER-glossary
central-solenoid	en	Part of the magnet system in ITER, the central solenoid acts like a large transformer, allowing a powerful current to be induced in the ITER plasma and maintained during long plasma pulses.	ITER-glossary
commissioning	en	The process during which plant or reactor components and systems, after construction, are made operational and verified to be in accordance with design assumptions and performance criteria.	ITER-glossary
confinement	en	Restriction of a hot plasma to a given volume for as long as possible through magnets and pinch effects.	ITER-glossary
confinement-time	en	The time the plasma is maintained at a temperature above the critical ignition temperature. To yield more energy from fusion than has been invested to heat the plasma, the plasma must be held up to this temperature for some minimum length of time, calculated from scaling laws.	ITER-glossary
cooldown	en	Usually refers to the cooling period necessary to remove heat from a large superconducting magnet system to lower the temperature to the operating point.	ITER-glossary
cooling-water-system	en	The cooling water system provides for the rejection of heat from a variety of ITER systems and consists of the tokamak cooling water system, the component cooling water system, the chilled water system, and the heat rejection system.	ITER-glossary
correction-coils	en	Coils whose purpose is to compensate small errors in the confining magnetic field arising from fabrication misalignments.	ITER-glossary
cryogenic	en	Term applied to substances and materials at very low temperatures (below -150 °C).	ITER-glossary
cryoplant	en	The ITER plant used to liquify helium and nitrogen to cool magnets, thermal shields, vacuum pumping panels, etc.	ITER-glossary
cryopump	en	A vacuum pump system using panels cooled by liquid helium to trap condensable gases from the plasma.	ITER-glossary
cryostat	en	A vacuum vessel built around a superconducting tokamak, capable of being evacuated at room temperature, which provides thermal insulation to maintain the magnets at low temperature.	ITER-glossary
current-drive	en	A means for producing the toroidal plasma current.	ITER-glossary
decommissioning	en	The process by which the facility is permanently taken out of operation at the end of the plant lifecycle with adequate regard for the health and safety of workers and the public, and protection of the environment.	ITER-glossary
demo	en	DEMO (DEMOnstration fusion reactor) is a generic term referring to the next class of experimental device to follow ITER, predecessor to a demonstration power plant. DEMO would generate electricity at the level of a few hundred MW and utilize all technologies necessary for a commercial device. See the After ITER page of the website for more information about the projects underway in the ITER Members.	ITER-glossary
deuterium	en	An isotope of hydrogen. Its nucleus contains one neutron and one proton.	ITER-glossary
