# term	zh	abbr	definition	status	matched_concept_id	gbt_id
magnetic confinement fusion	磁约束核聚变	MCF	利用强磁场将高温度和高密度等离子体约束足够长的时间而产生的核聚变反应，可以通过托卡马克(2.1.284)、仿星器(2.1.273)、反场箍缩(2.2.117)、Z箍缩(2.1.306)以及 θ 箍缩(2.1.283)等途径实现。	new		2.1.1
acoustic heating	声加热		由磁泵抽运加热等离子体的方式。 注：磁泵抽运的频率远低于离子碰撞频率，同离子通过发生磁泵抽运的区域的渡越频率同一数量级。在这种情况下，振荡场产生能被等离子体吸收的声波。	new		2.1.2
adiabatic compression	绝热压缩		通过磁场压缩等离子体，保持其磁矩不变的过程。	new		2.1.3
adiabatic compression heating	绝热压缩加热		通过绝热压缩加热等离子体。	new		2.1.4
adiabatic invariant	绝热不变量		当磁场随空间或时间变化时，带电粒子在磁场中运动的某些保持不变的参量或由它们组合起来的一些保持不变的量。这些参量包括磁矩、纵向不变量、通过粒子漂移轨道的磁通量等，它们是准静态过程中的不变量。	new		2.1.5
Advanced Research Innovation and Evaluation Study	先进堆创新和评价研究	ARIES	美国从20世纪90年代开始的一项磁约束聚变反应堆设计研究计划。至今已设计研究过多种聚变反应堆：ARIES-I基于当时托卡马克(2.1.284)物理数据的适当外推而设计的装置，ARIES-II和ARIES-IV为堆芯成分不同的两个运行第二稳定性区的装置，ARIES-III则是使用 D^-3He 聚变反应代替D-T反应的一种反应堆型。	new		2.1.6
advanced Tokamak	先进托卡马克		同时具备稳态运行、高等离子体约束性能、高比压 (β) 值、高自举电流，并能有效移除能量及废料的 托卡马克(2.1.284)装置。	exists	advanced-tokamak	2.1.7
Alfven gap modes	阿尔芬间隙模		托卡马克(2.1.284)等离子体的环向特性使阿尔芬波的原先的连续谱产生间隙，它们是以不连续的无阻尼的间隙模式存在。 注：这些模可以与高能粒子(例如，来自聚变反应的 α 粒子)产生共振而激发不稳定性，造成高能粒子的反常损失。	new		2.1.8
Alfven time	阿尔芬时间		阿尔芬波沿环向方向传播一弧度所需的时间，它是磁流体不稳定性效应的一个时间标度。	new		2.1.9
Alfven velocity	阿尔芬速度		在磁场方向阿尔芬波在等离子体中的传播速度，它与磁场强度成正比，与离子密度平方根成反比。	new		2.1.10
Alfven wave	阿尔芬波		基本表现等离子体磁流体动力学性质的波动现象，表现为等离子体中的一种磁场振荡。参见快阿尔芬波(2.1.101)。	exists	alfven-wave	2.1.11
