# concept_id	category	preferred_zh	preferred_en	preferred_abbr	status	notes	source
# - concept_id: stable id, lowercase with hyphens, e.g. neutral-beam-injection
# - preferred_en MAY be a phrase (registry-level concept name). IME export must split into tokens.
# - status: active|deprecated|draft
# - source: corpus|GB/T-4960.9|ITER-glossary|IAEA-safety-glossary (provenance of the term)
iter	device		ITER	ITER	active	International Thermonuclear Experimental Reactor	corpus
east	device		EAST	EAST	active	Experimental Advanced Superconducting Tokamak	corpus
tokamak	concept	托卡马克	tokamak		active	Core device concept	corpus
neutral-beam-injection	method		neutral beam injection	NBI	active	Heating/current drive method (concept-level name is a phrase)	corpus
thomson-scattering	diagnostic		Thomson scattering		active	Diagnostic method (concept-level name is a phrase)	corpus
tritium-retention	metric	氚滞留	tritium retention		active	Key safety/material metric	corpus
q95	metric		q95		active	Safety factor at 95% poloidal flux	corpus
beta-n	metric		beta_N		active	Normalized beta (ASCII preferred here; can alias to β_N)	corpus
tau-e	metric		tau_E		active	Energy confinement time (ASCII preferred here; can alias to τ_E)	corpus
tungsten	material		w	W	active	Material / element (token preferred is W)	corpus
beryllium	material		Be	Be	active	Material / element	corpus
nb3sn	material	铌三锡	Nb3Sn		active	Superconductor (Nb3Sn)	corpus

# ---- Tritium fuel cycle systems (abbrev expansions)
tokamak-exhaust-processing-system	system	托卡马克排气处理系统	tokamak exhaust processing system		active	Acronym expansion: TEP	corpus
breeder-tritium-extraction-system	system	增殖剂氚提取系统	breeder tritium extraction system		active	Acronym expansion: TES	corpus
isotope-separation-system	system	同位素分离系统	isotope separation system		active	Acronym expansion: ISS	corpus
water-detritiation-system	system	水除氚系统	water detritiation system		active	Acronym expansion: WDS	corpus
storage-and-delivery-system	system	燃料储存与供应系统	storage and delivery system		active	Acronym expansion: SDS	corpus
coolant-purification-system	system	冷却剂净化系统	coolant purification system		active	Acronym expansion: CPS	corpus

# ---- Safety analysis reports (acronym expansions)
preliminary-safety-analysis-report	doc	初步安全分析报告	Preliminary Safety Analysis Report	PSAR	active	Safety analysis report: preliminary	corpus
final-safety-analysis-report	doc	最终安全分析报告	Final Safety Analysis Report	FSAR	active	Safety analysis report: final	corpus

# ---- Radiation protection / shielding / limits
alara	principle	合理可行尽量低	ALARA	ALARA	active	As Low As Reasonably Achievable	corpus
dose-constraint	limit	剂量约束	dose constraint		active	Dose constraint (planning/optimization)	corpus
dose-limit	limit	剂量限值	dose limit		active	Dose limit (regulatory)	corpus
radiation-shielding	concept	屏蔽	radiation shielding		active	Radiation shielding (general)	corpus
shielding-penetration	concept	屏蔽穿透	shielding penetration		active	Penetrations in shielding that enable streaming	corpus
skyshine	effect	天空反照	skyshine		active	Atmospheric scattering contribution to dose	corpus
radiation-streaming	effect	流道串流	radiation streaming		active	Streaming through penetrations/ducts/labyrinths	corpus
shielding-labyrinth	concept	迷宫通道	shielding labyrinth		active	Labyrinth for shielding penetrations	corpus

# ---- Exposure / dose / air concentration
occupational-exposure	metric	职业照射	occupational exposure		active	Occupational exposure	corpus
public-exposure	metric	公众照射	public exposure		active	Public exposure	corpus
effective-dose	metric	有效剂量	effective dose		active	Effective dose	corpus
equivalent-dose	metric	当量剂量	equivalent dose		active	Equivalent dose	corpus
derived-air-concentration	limit	导出空气浓度	derived air concentration	DAC	active	Derived air concentration	corpus

