# alias	preferred	status	lang	note
ASDEX升级	ASDEX Upgrade	forbidden	zh	误译Upgrade(装置名应保留 ASDEX Upgrade)
Alfvén连续介质	Alfvén连续谱	forbidden	zh	误译continuum：正确为 Alfvén连续谱
C2W	C-2W	forbidden	en	缺连字符(正确为 C-2W)
CLAM合金	CLAM	forbidden	zh	材质标示错(钢≠合金)：正确为 CLAM钢
CLF-1合金	CLF-1	forbidden	zh	材质标示错(钢≠合金)：正确为 CLF-1钢
C陀螺	CGYRO	forbidden	zh	letter-by-letter mistranslation
D3-D	DIII-D	forbidden	en	误写(正确为 DIII-D)
D三-D	DIII-D	forbidden	zh	误译(装置名应保留 DIII-D)
ECE图像	ECE成像	forbidden	zh	误译imaging(成像≠图像)：正确为 ECE成像
ECE影像	ECE成像	forbidden	zh	误译imaging：正确为 ECE成像
ECRH加热	电子回旋共振加热	forbidden	zh	冗余(ECRH已含heating)：正确为 电子回旋共振加热 或 ECRH
ELM减缓	ELM缓解	deprecated	zh	非标准：应为 ELM缓解
ELM减轻	ELM缓解	deprecated	zh	非标准：应为 ELM缓解
ELM压制	ELM抑制	deprecated	zh	非标准：应为 ELM抑制
ELM崩溃侵蚀	ELM诱发侵蚀	forbidden	zh	误译ELM-induced(诱发≠崩溃)：正确为 ELM诱发侵蚀
ELM引起的腐蚀	ELM诱发侵蚀	forbidden	zh	侵蚀≠腐蚀：正确为 ELM诱发侵蚀
ELM消除	ELM抑制	forbidden	zh	概念错误：suppression≠消除
ELM碰撞侵蚀	ELM诱发侵蚀	forbidden	zh	误译ELM-induced(诱发≠碰撞)：正确为 ELM诱发侵蚀
ELM诱导侵蚀	ELM诱发侵蚀	deprecated	zh	非标准：应为 ELM诱发侵蚀
ENN球形托卡马克	新奥球形托卡马克	deprecated	zh	非标准：应为 新奥球形托卡马克
ENN紧凑融合装置	新奥紧凑聚变装置	forbidden	zh	误译：正确为 新奥紧凑聚变装置
ENN能源	新奥	forbidden	zh	冗赘：正确为 新奥
ExB漂移	E×B漂移	deprecated	zh	格式非标准：应为 E×B漂移
E×B偏移	E×B漂移	forbidden	zh	误译drift：正确为 E×B漂移
F82H合金	F82H	forbidden	zh	材质标示错(钢≠合金)：正确为 F82H钢
FRC合并	场反并合	forbidden	zh	误译merging：正确为 场反并合
GA代码	GACODE	forbidden	zh	literal expansion of suite token
Greenwald极限	格林沃尔德密度	deprecated	zh	混淆density与limit：应为 格林沃尔德密度
Greenwald限制	格林沃尔德密度	deprecated	zh	混淆density与limit：应为 格林沃尔德密度
HB11能源	HB11 Energy	forbidden	zh	误译(应保留英文)：正确为 HB11 Energy
H因素	H因子	forbidden	zh	误译factor：聚变应为 H因子
H模式	高约束模	deprecated	zh	非标准：应为 高约束模 或 H-mode
H系数	H因子	forbidden	zh	误译factor：聚变应为 H因子
ICRF天线	离子回旋天线	deprecated	zh	非标准缩写：应为 离子回旋天线
IPP加兴研究所	马克斯·普朗克等离子体物理研究所	forbidden	zh	误译(应给全称)：正确为 马克斯·普朗克等离子体物理研究所
ITER到演示	ITER到DEMO	forbidden	zh	误译DEMO(专有名称)：正确保留 ITER到DEMO
ITG模式	离子温度梯度模	deprecated	zh	非标准：应为 ITG模 或 离子温度梯度模
Internation Thermonuclear Experimental Reactor	ITER	forbidden	en	misspelling: Internation → International
International Thermonuclear Experimental Research	ITER	forbidden	en	ITER = ...Reactor, not Research
I模式	I模	deprecated	zh	非标准：应为 I模
JT60SA	JT-60SA	forbidden	en	缺连字符(正确为 JT-60SA)
K-Star	KSTAR	forbidden	en	误写(正确为 KSTAR)
LH过渡	L-H转换	forbidden	zh	误译+格式错：正确为 L-H转换
LPP融合	LPP Fusion	forbidden	zh	误译fusion(应保留英文)：正确为 LPP Fusion
Langmuire probe	Langmuir probe	forbidden	en	misspelling of Langmuir probe
L到H转变	L-H转换	deprecated	zh	非标准：应为 L-H转换
L模式	低约束模	deprecated	zh	非标准：应为 低约束模 或 L-mode
MAST升级	MAST-U	forbidden	zh	误译(装置名应保留 MAST-U)
MHD稳定性限制	MHD稳定极限	forbidden	zh	误译limit：正确为 MHD稳定极限
ML中断预测	机器学习破裂预测	forbidden	zh	误译disruption(破裂≠中断)：正确为 机器学习破裂预测
NSTX-U升级	NSTX-U	forbidden	zh	冗赘(U已含upgrade义)
N平行	平行折射率	forbidden	zh	误译：正确为 平行折射率
Q值反应	Q值	forbidden	zh	冗加'反应'：正确为 Q值
REBCO磁带	稀土钡铜氧化物	forbidden	zh	误译tape：正确为 REBCO带材
REBCO胶带	稀土钡铜氧化物	forbidden	zh	误译tape：正确为 REBCO带材
RFX改进型	RFX-mod	forbidden	zh	误译mod(装置名应保留 RFX-mod)
SiC/SiC复合物	碳化硅复合材料	deprecated	zh	非标准：应为 碳化硅复合材料
T retention	tritium retention	deprecated	en	shorthand: use full term
TAE技术	TAE Technologies	forbidden	zh	误译Technologies(应保留英文)：正确为 TAE Technologies
